Angebotskategorie,Verkehrsmittelkategorie,Beschreibung,,
ASC,Aufzug,Aufzug,,
B,Bus,Bus,,
BN,Bus,Nachtbus,,
BP,Bus,PanoramaBus,,
BUS,Bus,Bus,,
CAR,Bus,Fernbus national,,
CAX,Bus,Fernbus international,,
EB,Bus,Eilbus,,
EXB,Bus,Expressbus,,
ICB,Bus,InterCity-Bus,,
KB,Bus,Kleinbus,,
NB,Bus,Nacht-Bus,,
NFB,Bus,Niederflur-Bus,,
NFO,Bus,Niederflur-Trolleybus,,
RUB,Bus,Rufbus,,
TX,Bus,Taxi,,
SL,Sesselbahn,Sesselbahn,,
CC,Zahnradbahn,Zahnradbahn,,
GB,Kabinenbahn,Gondelbahn,,
LB,Kabinenbahn,Luftseilbahn,,
PB,Kabinenbahn,Pendelbahn,,
M,Metro,Metro,,
FUN,Seilbahn,Standseilbahn,,
BAT,Schiff,Schiff,,
BAV,Schiff,Dampfschiff,,
FAE,Schiff,Fähre,,
KAT,Schiff,Katamaran,,
NFT,Tram,Niederflur-Tram,,
T,Tram,Tram,,
TN,Tram,Nachttram,,
AIR,Unbekannt,Flugzeug,,
UUU,Unbekannt,Unbekannte Art,,
AG,Zug,Agenturzug,,
ARC,Zug,Arco,,
ARZ,Zug,Autoreisezug,,
AT,Zug,Autotunnelzug,,
ATR,Zug,Altaria,,
ATZ,Zug,Autotunnelzug,,
AVE,Zug,Alta Velocidad ES,,
BEX,Zug,Bernina Express,,
CAT,Zug,City Airport Train,,
CNL,Zug,CityNightLine,,
D,Zug,Schnellzug,,
E,Zug,Eilzug,,
EC,Zug,EuroCity,,
EM,Zug,Euromed,,
EN,Zug,EuroNight,,
ES,Zug,Eurostar Italia,,
EST,Zug,Eurostar,,
EXT,Zug,Extrazug,,
GEX,Zug,Glacier Express,,
IC,Zug,InterCity,,
ICE,Zug,InterCityExpress,,
ICN,Zug,IC-Neigezug,,
IN,Zug,InterCityNacht,,
IR,Zug,InterRegio,,
IRE,Zug,Interregio-Express,,
IT,Zug,Italo,,
JAT,Zug,Gef„ngniszug,,
MAT,Zug,LeermaterialZ (Reisezugswagen),,
MP,Zug,LeermaterialZ Personenbef”rd,,
NJ,Zug,nightjet,,
NZ,Zug,Nacht-Zug,,
P,Zug,Zug ohne Gew„hr,,
PE,Zug,PanoramaExpress,,
R,Zug,Regio,,
RB,Zug,Regionalbahn,,
RE,Zug,RegioExpress,,
RJ,Zug,Railjet,,
RJX,Zug,railjet xpress,,
S,Zug,S-Bahn,,
SN,Zug,Nacht-S-Bahn,,
STB,Zug,Stadtbahn,,
TAL,Zug,Talgo,,
TER,Zug,Train Express Regional,,
TE2,Zug,TER200,,
TGV,Zug,Train … grande vit.,,
THA,Zug,Thalys,,
TLK,Zug,Twoje Linie Kolejowe,,
UEX,Zug,UrlaubsExpress,,
VAE,Zug,Voralpen-Express,,
WB,Zug,Westbahn,,
X,Zug,InterConnex,,
X2,Zug,X2000 Neigezug,,
ZUG,Zug,Zugskategorie unbekannt,,